location_uri,barcode,title,room,coordinate_1_indicator,tc_uri,indicator,barcode
/locations/1801,NULL,"SML, B70-B [Range: 1, Section: b, Shelf: 6]",B70-B,1,NULL,NULL,NULL
/locations/1802,NULL,"SML, B70-B [Range: 1, Section: b, Shelf: 7]",B70-B,1,NULL,NULL,NULL
/locations/1803,NULL,"SML, B70-B [Range: 1, Section: c, Shelf: 1]",B70-B,1,NULL,NULL,NULL
/locations/1804,NULL,"SML, B70-B [Range: 1, Section: c, Shelf: 2]",B70-B,1,NULL,NULL,NULL
/locations/1805,NULL,"SML, B70-B [Range: 1, Section: c, Shelf: 3]",B70-B,1,NULL,NULL,NULL
/locations/1806,NULL,"SML, B70-B [Range: 1, Section: c, Shelf: 4]",B70-B,1,NULL,NULL,NULL
/locations/1807,NULL,"SML, B70-B [Range: 1, Section: c, Shelf: 5]",B70-B,1,NULL,NULL,NULL
/locations/1808,NULL,"SML, B70-B [Range: 1, Section: c, Shelf: 6]",B70-B,1,NULL,NULL,NULL
/locations/1809,NULL,"SML, B70-B [Range: 1, Section: c, Shelf: 7]",B70-B,1,NULL,NULL,NULL
/locations/331,NULL,"SML, B70-B [Range: 2, Section: b, Shelf: 0]",B70-B,2,NULL,NULL,NULL
/locations/1810,NULL,"SML, B70-B [Range: 2, Section: a, Shelf: 1]",B70-B,2,NULL,NULL,NULL
/locations/1811,NULL,"SML, B70-B [Range: 2, Section: a, Shelf: 2]",B70-B,2,NULL,NULL,NULL
/locations/1812,NULL,"SML, B70-B [Range: 2, Section: a, Shelf: 3]",B70-B,2,NULL,NULL,NULL
/locations/1813,NULL,"SML, B70-B [Range: 2, Section: a, Shelf: 4]",B70-B,2,NULL,NULL,NULL
/locations/1814,NULL,"SML, B70-B [Range: 2, Section: a, Shelf: 5]",B70-B,2,NULL,NULL,NULL
/locations/1815,NULL,"SML, B70-B [Range: 2, Section: a, Shelf: 6]",B70-B,2,NULL,NULL,NULL
/locations/1816,NULL,"SML, B70-B [Range: 2, Section: a, Shelf: 7]",B70-B,2,NULL,NULL,NULL
/locations/1817,NULL,"SML, B70-B [Range: 2, Section: b, Shelf: 1]",B70-B,2,NULL,NULL,NULL
/locations/1819,NULL,"SML, B70-B [Range: 2, Section: b, Shelf: 3]",B70-B,2,NULL,NULL,NULL
/locations/1820,NULL,"SML, B70-B [Range: 2, Section: b, Shelf: 4]",B70-B,2,NULL,NULL,NULL
/locations/1821,NULL,"SML, B70-B [Range: 2, Section: b, Shelf: 5]",B70-B,2,NULL,NULL,NULL
